Name, Rating, Price, Number of Reviews, Keywords, Phone Number, Address
Cafe Murmurs,,$,,['Sandwiches'; 'Coffee & Tea'; 'Desserts'],(310) 951-9900,1411 Newton St; Downtown
Howlin’ Ray’s,4.5,$$,6241,['Southern'; 'Chicken Shop'; 'American (Traditional)'],(213) 935-8399,Located in Far East Plaza; Chinatown
Wurstküche,4,$$,8319,['Hot Dogs'; 'German'; 'Gastropubs'],(213) 687-4444,800 E 3rd St; Arts District
Daikokuya Little Tokyo,4,$$,8510,['Ramen'; 'Noodles'],(213) 626-1680,327 E 1st St; Little Tokyo
Slurpin’ Ramen Bar,4.5,$$,4486,['Ramen'; 'Noodles'],(213) 388-8607,3500 W 8th St; Koreatown
Bestia,4.5,$$$,6132,['Italian'; 'Cocktail Bars'; 'Pizza'],(213) 514-5724,2121 E 7th Pl; Downtown
Republique,4,$$,5466,['French'; 'Breakfast & Brunch'; 'Cocktail Bars'],(310) 362-6115,624 S La Brea Ave; Hancock Park
Kang Ho-dong Baekjeong,4.5,$$,4255,['Barbeque'; 'Korean'],(213) 384-9678,3465 W 6th St; Wilshire Center
Langer’s Delicatessen,4.5,$$,3732,['Delis'; 'Sandwiches'],(213) 483-8050,704 S Alvarado St; Westlake
Perch,4,$$$,7753,['Lounges'; 'French'],(213) 802-1770,448 S Hill St; Downtown
Marugame Monzo,4.5,$$,3706,['Japanese'; 'Noodles'; 'Asian Fusion'],(213) 346-9762,329 E 1st St; Little Tokyo
Cafe Murmurs,,$,,['Desserts'; 'Sandwiches'; 'Coffee & Tea'],(310) 951-9900,1411 Newton St; Downtown
Hae Jang Chon Korean BBQ Restaurant,4,$$,4985,['Korean'; 'Barbeque'],(213) 389-8777,3821 W 6th St; Koreatown
Providence,4.5,$$$$,2672,['Seafood'],(323) 460-4170,5955 Melrose Ave; Hollywood
Salt & Straw,4.5,$$,2090,['Ice Cream & Frozen Yogurt'],(323) 466-0485,240 N Larchmont Blvd; Windsor Square
Eggslut,4,$,5740,['Breakfast & Brunch'; 'Sandwiches'],(213) 625-0292,Located in Grand Central Market; Downtown
Masa of Echo Park,4,$$,4139,['American (New)'; 'Pizza'; 'Salad'],(213) 989-1558,1800 W Sunset Blvd; Echo Park
BCD Tofu House,4,$$,4276,['Korean'],(213) 382-6677,3575 Wilshire Blvd; Koreatown
Yup Dduk La,4.5,$$,2006,['Korean'],(213) 263-2355,3603 W 6th St; Wilshire Center
KazuNori | The Original Hand Roll Bar,4.5,$$,2751,['Sushi Bars'; 'Japanese'],(213) 493-6956,421 S Main St; Downtown
Dave’s Hot Chicken,4.5,$$,3079,['Chicken Shop'],(323) 536-9711,970 N Western Ave; East Hollywood
Tea Master Matcha Cafe & Green Tea Shop,5,$,1400,['Coffee & Tea'; 'Ice Cream & Frozen Yogurt'; 'Juice Bars & Smoothies'],(213) 680-1006,450 E 2nd St; Little Tokyo
Cafe Murmurs,,$,,['Desserts'; 'Coffee & Tea'; 'Sandwiches'],(310) 951-9900,1411 Newton St; Downtown
Saffron & Rose Ice Cream,4.5,$,2229,['Ice Cream & Frozen Yogurt'],(310) 477-5533,1387 Westwood Blvd; Westwood
Han Bat Sul Lung Tang,4.5,$$,2234,['Korean'; 'Comfort Food'; 'Soup'],(213) 383-9499,4163 W 5th St; Koreatown
Philippe the Original,4,$,6179,['Sandwiches'; 'Breakfast & Brunch'; 'American (Traditional)'],(213) 628-3781,1001 N Alameda St; Chinatown
EMC Seafood & Raw Bar,4,$$,3194,['Seafood'; 'Live/Raw Food'; 'Sushi Bars'],(213) 351-9988,3500 W 6th St; Wilshire Center
